epoch,acc,loss,val_acc,val_loss
0,0.33236964018355925,1.767556492514718,0.3615213231115861,1.735469383419839
1,0.4249190149472015,1.5247270128246866,0.44511006887318133,1.5215796642389494
2,0.47528649552457075,1.3967930023903308,0.502646988488715,1.3131375815641517
3,0.5028388310296353,1.3265002309651106,0.5185288499659833,1.2832218928630554
4,0.5213696053543909,1.276501907014752,0.4991641240129566,1.4243031490348148
5,0.5373576230460763,1.23893008787408,0.5246586915002822,1.2668495605229775
6,0.5481207983600686,1.2092981841888144,0.5550292685989152,1.2037865110935357
7,0.5514298652001046,1.1902276458999008,0.5601839077471856,1.1763981523355025
8,0.5580479988874432,1.1746631353442674,0.5709111299848417,1.1665537881600836
9,0.5663032498519628,1.1551761678374752,0.5589300766109789,1.1823520867766926
10,0.5722247378912261,1.1387666023746297,0.5250766353998785,1.2813820206801783
11,0.5763001149470515,1.1322978689502061,0.5699359279122815,1.1588264112977074
12,0.5785293810324151,1.1207441435578915,0.588882709998927,1.1124575127302296
13,0.5840677139593717,1.1080966839801887,0.5827528684770839,1.1373705412573878
14,0.5917656484039779,1.0986628705769514,0.5618556824549887,1.1637429942019588
15,0.5912431641666238,1.0899750359247145,0.5678462090682239,1.1891048355570375
16,0.5975129750262915,1.0812724332973216,0.5867929914247428,1.1307381317647438
17,0.5985579435025568,1.0739630111071288,0.5944552931194519,1.1222340061141691
18,0.6002647253516044,1.071987069802472,0.5759264545400483,1.1602967810181564
19,0.6014490229555123,1.0634081798925383,0.5989133591986061,1.0903829408476873
20,0.6061862133846391,1.0547950862945445,0.602117594409351,1.0999519272960927
21,0.6048277543668957,1.0511725734255066,0.595848438703406,1.0993953203726907
22,0.6101570935984956,1.0446631604632164,0.5936194056731706,1.1086996499678408
23,0.6110279006593682,1.0439569648644482,0.6090833230764628,1.0695821900241436
24,0.6120032045710335,1.0365497239011636,0.6037893692396351,1.0712238755539023
25,0.6134313281590863,1.0271831090732064,0.6074115482669383,1.0728273030949664
26,0.6185168414127699,1.0219377849023044,0.6082474354412702,1.0687238387514386
27,0.6206764429293812,1.0119053958173108,0.6015603363090453,1.0852317455533231
28,0.6209551011919332,1.013317656577653,0.5895792829725496,1.1139185993599257
29,0.6226967153178308,1.0087649914686772,0.6125661874567276,1.0615555614203953
30,0.6231495349900659,1.0089229627887824,0.6199498596684485,1.0525736133294223
31,0.626284440423533,1.0022790491001712,0.6065756606753406,1.08705441785162
32,0.6263541049855377,0.9970315134244186,0.612148243492777,1.0455045363925217
33,0.6326239158457244,0.9901842446639298,0.6104764685088726,1.0621492955636458
34,0.6324497544334461,0.9863893252404997,0.6035107399227227,1.1143472500095613
35,0.6324149221540009,0.9905997303910853,0.6242686114763111,1.0321629416118652
36,0.6321710961729702,0.9835709527665875,0.6139593328995172,1.0530483362987102
37,0.6344351945403742,0.978813793844072,0.6095012666127682,1.0873826421832566
38,0.6360026472576269,0.9703716907577956,0.6142379619237207,1.0572200428791019
39,0.636977951167216,0.9726028082562512,0.6237113532825876,1.030184201878026
40,0.6371521125820896,0.9699063564053589,0.6267762734933828,1.0231724708323158
41,0.6432477620299979,0.966138216381956,0.6327668003578079,1.0215312888709307
42,0.6397993660566097,0.9647171049889711,0.6106157830832528,1.0705547879724309
43,0.6424814518100561,0.9585753230117797,0.6196712306442451,1.0640847087186687
44,0.6449197115907765,0.9568669346230186,0.6103371539635557,1.0790906403152498
45,0.6433174265930407,0.9555921443739698,0.6088046936370696,1.0642179717800475
46,0.6446062210456651,0.9550364021306718,0.6174421976326933,1.056543316402519
47,0.6444668919164653,0.953326226422653,0.5943159784516541,1.160143994571323
48,0.6465568288700339,0.9439804007081993,0.5911117430727573,1.123063038791719
49,0.6443623950682679,0.9552796073350053,0.6178601407413531,1.0501516320565951
50,0.6503883799515763,0.9421935333611512,0.6153524786101041,1.071924911314239
51,0.6502142185418931,0.9452821777350991,0.6030927964715315,1.091062650065812
52,0.6499355602793412,0.9382616898670454,0.6037893691877364,1.0825986713191764
53,0.648542268975924,0.9413106693336718,0.6140986476192138,1.071748345833418
54,0.6676651921041906,0.8952148017342169,0.6379214396929136,1.0015379060179153
55,0.6759901076317532,0.8773636010594285,0.6433547078238685,0.9941611435346349
56,0.6755024556769585,0.8715030502851964,0.647116201342514,0.9877820883232215
57,0.6771395729603682,0.8658490527024558,0.6419615619845728,0.9908687343676132
58,0.6818419311027831,0.8667982002299359,0.6434940224501475,0.9931257096959725
59,0.6803441429516877,0.8612812313753143,0.6443299099587072,0.994699922051124
60,0.6823644153442896,0.8590748547519436,0.643772651472275,0.99532568976117
61,0.6841408617517086,0.8558033231931684,0.6446085388251386,0.9884229073808009
62,0.6836183775122784,0.8532810497946856,0.6443299098133908,0.9907699375218478
63,0.6821902539314922,0.8509465506978782,0.64432990984453,0.9939234692626185
64,0.6863352955560699,0.8521808930281964,0.6441905953220486,0.9939817125665366
